Mã,Chiến lược,Điểm V15.3,Regime tốt nhất,T+5 sau phí %,T+5 exit sau phí %,Winrate sau phí %,Volatility20 %,ATR %,Exit reason,Expectancy OK,Winrate OK,ATR OK,Volatility OK,Drawdown Trade OK,Pass Risk Filter,Có dữ liệu giá
DPM,MOMENTUM,50.0,UNKNOWN,-0.59,-0.94,40.6,8.52,3.25,TIME STOP,False,True,True,True,True,False,True
CTG,MOMENTUM,50.0,UNKNOWN,-0.06,-0.41,48.3,4.65,2.16,TIME STOP,False,True,True,True,True,False,True
SBT,MOMENTUM,50.0,UNKNOWN,-0.6,-0.95,36.0,5.95,2.09,TIME STOP,False,True,True,True,True,False,True
CMG,MOMENTUM,50.0,UNKNOWN,-1.21,-1.56,34.8,6.07,2.72,TIME STOP,False,False,True,True,True,False,True
IDC,MOMENTUM,50.0,UNKNOWN,-4.51,-4.86,21.7,7.57,2.86,TIME STOP,False,False,True,True,True,False,True
LCG,BOTTOM,50.0,UNKNOWN,-0.81,-1.16,40.0,2.89,1.49,TIME STOP,False,True,True,True,True,False,True
HDB,MOMENTUM,50.0,UNKNOWN,-1.26,-1.61,56.2,7.6,2.51,TIME STOP,False,True,True,True,True,False,True
NBB,MOMENTUM,50.0,UNKNOWN,-0.52,-0.87,50.0,5.23,2.29,TIME STOP,False,True,True,True,True,False,True
FCN,MOMENTUM,50.0,UNKNOWN,-0.4,-0.75,36.4,6.79,2.51,TIME STOP,False,True,True,True,True,False,True
SHB,MOMENTUM,50.0,UNKNOWN,-1.43,-1.78,22.2,4.43,1.94,TIME STOP,False,False,True,True,True,False,True
SCS,MOMENTUM,50.0,UNKNOWN,-2.64,-2.478,12.5,2.47,1.33,ATR/TRAILING STOP,False,False,True,True,True,False,True
