Ma,So phien tang dai nhat,Muc tang tung phien trong chuoi (%),Tong % tang cua chuoi,Trung binh % tang moi phien,Mã,Final Decision,Decision Mode,Meta Allocation %,Meta Exposure,Regime Strength,Equity State,Meta Allocation %_meta,Decision Mode_meta,Nhóm realtime,Ưu tiên,Điểm V15.3 cuối cùng,Kết luận V15.3
BVS,8,"[3.46, 0.37, 1.85, 9.82, 5.63, 1.88, 9.85, 0.84]",33.7,4.21,BVS,,,0.0,,,,,,,,0.0,
AGR,7,"[0.33, 2.27, 2.54, 2.79, 6.93, 0.28, 1.69]",16.83,2.4,AGR,WATCHLIST,ĐÁNH RẤT NHỎ,1.84,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,1.84,ĐÁNH RẤT NHỎ,,,30.0,CẦN THEO DÕI THÊM
AGR,7,"[0.33, 2.27, 2.54, 2.79, 6.93, 0.28, 1.69]",16.83,2.4,AGR,WATCHLIST,ĐÁNH RẤT NHỎ,1.84,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,1.84,ĐÁNH RẤT NHỎ,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
PDR,7,"[6.81, 1.9, 6.77, 2.69, 1.9, 0.96, 1.35]",22.38,3.2,PDR,AVOID,ĐÁNH RẤT NHỎ,0.636,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,0.636,ĐÁNH RẤT NHỎ,,,69.0,REGIME FIT VỪA
PDR,7,"[6.81, 1.9, 6.77, 2.69, 1.9, 0.96, 1.35]",22.38,3.2,PDR,AVOID,ĐÁNH RẤT NHỎ,0.636,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,0.636,ĐÁNH RẤT NHỎ,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
CTR,7,"[1.99, 0.93, 6.98, 0.7, 1.33, 3.84, 5.7]",21.47,3.07,CTR,,,0.0,,,,,,,,90.0,REGIME FIT MẠNH
CTR,7,"[1.99, 0.93, 6.98, 0.7, 1.33, 3.84, 5.7]",21.47,3.07,CTR,,,0.0,,,,,,,,68.0,CHỈ HỢP MỘT PHA
PLX,7,"[1.71, 0.28, 0.56, 1.95, 5.46, 3.36, 0.5]",13.82,1.97,PLX,,,0.0,,,,,,,,30.0,CẦN THEO DÕI THÊM
FCN,7,"[6.71, 4.57, 5.27, 1.88, 1.54, 3.33, 1.02]",24.32,3.47,FCN,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
IDC,7,"[2.82, 1.49, 1.79, 4.99, 0.33, 3.89, 0.82]",16.13,2.3,IDC,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
