pattern,conditions,n,win,fail,flat,winrate_pct,failrate_pct,avg_ret_t2_pct,avg_ret_t5_pct,avg_drawdown_t5_pct,combo_size,rule_type,action,confidence
COMBO_2,market_ret20 < -5% + label:volatility_context_VOLATILITY_MỞ_RỘNG,271,144,70,57,53.14,25.83,1.703,2.66,-3.445,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,range20 <= 10% + market_ret20 < -5%,47,22,12,13,46.81,25.53,1.465,1.674,-2.328,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_ret20 > 15% + label:market_regime_YẾU,57,32,14,11,56.14,24.56,1.91,4.572,-4.597,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_dist_ma20 > 8% + label:market_regime_YẾU,50,28,12,10,56.0,24.0,1.311,3.745,-4.212,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:extension_context_SUY_YẾU_TRƯỚC_SIGNAL,102,61,20,21,59.8,19.61,0.97,2.391,-2.93,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + drawdown20 < -15%,73,46,14,13,63.01,19.18,1.375,2.622,-3.08,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:risk_context_DRAWDOWN_SÂU,73,46,14,13,63.01,19.18,1.375,2.622,-3.08,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:market_regime_YẾU,196,136,31,29,69.39,15.82,2.055,4.317,-2.781,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_3,stock_ret5 > 8% + market_context risk-off + label:extension_context_KHÔNG_QUÁ_NÓNG,83,38,37,8,45.78,44.58,0.256,1.344,-5.226,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + stock_dist_ma20 3-8% + market_context risk-off,45,21,20,4,46.67,44.44,0.748,1.109,-5.073,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + stock_dist_ma20 3-8% + label:market_context_MARKET_RISK-OFF,45,21,20,4,46.67,44.44,0.748,1.109,-5.073,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + market_context risk-off + label:entry_context_ENTRY_LƯNG_CHỪNG_TRÊN_MA20,45,21,20,4,46.67,44.44,0.748,1.109,-5.073,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + volatility_contraction20 > 1.3 + label:volume_context_VOLUME_TRUNG_TÍNH,59,27,26,6,45.76,44.07,0.565,0.471,-6.111,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + market_context risk-off + label:volume_context_VOLUME_TĂNG_VỪA,57,26,25,6,45.61,43.86,0.924,2.276,-4.896,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret20 > 15% + volume_ratio 1.2-2.0x + label:volume_context_VOLUME_TRUNG_TÍNH,48,22,21,5,45.83,43.75,-0.568,0.169,-6.524,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret20 > 15% + market_context risk-off + label:volume_context_VOLUME_CẠN,32,15,14,3,46.88,43.75,1.075,1.085,-6.35,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
